アクセシビリティサポーテッド検証結果 [等級AA]  2013年10月版,,,,,,,,,,,,,,,,,,,,,,
＊ この検証結果は、ウェブアクセシビリティ基盤委員会 実装ワーキンググループ（WG2）が提供する参考情報であり、予告なく変更されることがあります。,,,,,,,,,,,,,,,,,,,,,,
＊ この情報をご利用になる前に、ライセンス（利用許諾条項）と免責事項を必ずご確認ください。,,,,,,,,,,,,,,,,,,,,,,
＊最新版は、ウェブアクセシビリティ基盤委員会のサイトでご確認ください（http://waic.jp/docs/jis2010/as.html）。,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
記号の説明,○,サポートあり,△,一部サポート,×,サポートなし,？,判定できず,-,テスト不要,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,検証結果　○/△/×/？/ - ,,,,,,,,,,,,,,,,,,,,,
,XP,Vista,7,7,XP,7,7,Mac10.5,Mac 10.6.6,XP,XP,XP,XP,7,7,7,,,,,,
,IE6,IE7,IE8,IE9,Firefox 3.5,Firefox 4.0,Firefox 9.0,Safari 3.2,Safari 5.0.3,IE6,IE6,IE6,IE6,IE8,Firefox 3.6.3,Firefox 4.0.1,,,,,,
テストファイルNo.,"支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし",JAWS 9,HPR 3.04,PC-Talker XP 3.06,PC-Talker XP 3.06 + NetReader 1.18,FocusTalk V3,NVDA 2010.1J,NVDA 2011.1,Firefox18.0.1,Google Chrome 25,Safari 6.0.5,NVDA 2012.3,PC-Talker 7 2.12,VoiceOver
7.1.2.4 ライブの音声コンテンツのキャプションに関する達成基準,,,,,,,,,,,,,,,,,,,,,,
検証の対象となる実装方法なし,,,,,,,,,,,,,,,,,,,,,,
7.1.2.5 収録済みの映像コンテンツの音声ガイドに関する達成基準,,,,,,,,,,,,,,,,,,,,,,
検証の対象となる実装方法なし,,,,,,,,,,,,,,,,,,,,,,
7.1.4.3 最低限のコントラストに関する達成基準,,,,,,,,,,,,,,,,,,,,,,
検証の対象となる実装方法なし,,,,,,,,,,,,,,,,,,,,,,
7.1.4.4 テキストのサイズ変更に関する達成基準,,,,,,,,,,,,,,,,,,,,,,
G146,○,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,○,○,○,-,-,-
G178-1,○,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,○,○,○,-,-,-
G178-2,○,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,○,○,○,-,-,-
